Is it a dealbreaker if your partner is open to polyamorous relationships? ,Is it a dealbreaker if your partner has a child/children? ,Is it a dealbreaker if your partner does not want a child/children? ,Is it a dealbreaker if your partner does not take care of themselves? ,Is it a dealbreaker if your partner is not athletic? ,Is it a dealbreaker if your partner is overly athletic? ,Is it a dealbreaker if your partner abuses substances? ,Is it a dealbreaker if your partner lives more than 3 hours from you? ,Is it a dealbreaker if your partner is lazy?,Is it a dealbreaker if your partner is unambitious?,Is it a dealbreaker if your partner is clingy?,Is it a dealbreaker if your partner is arrogant?,Is it a dealbreaker if your partner has poor personal hygiene?,Is it a dealbreaker if your partner is a poor communicator?,Is it a dealbreaker if your partner is inconsistent?,Is it a dealbreaker if your partner tends to be disrespectful to others?,"Is it a dealbreaker if your partners romantic behaviours differ from yours? 
e.g. differing love languages, methods of expressing romatic feelings. ","Is it a dealbreaker if your partner wishes to monitor your online activity? 
e.g. looking though text messages, content watched, social media posts and communications.  ",Is it a dealbreaker if your partner is secretive about their own online activity? ,Is it a dealbreaker if your partner suffers from financial strain?,Is it a dealbreaker if your partner has not completed their high school/secondary school studies?,Is it a dealbreaker if your partner has not attended university or an equivalent third level institute?,Is it a dealbreaker if your partner suffers from mental health issues?,Is it a dealbreaker if your partner suffers from health problems?
Not Sure,Indifferent,No,Not Sure,Yes,No,Yes,No,Yes,Yes,Not Sure,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Not Sure
Yes,Yes,No,Yes,No,No,Yes,No,Not Sure,No,No,Not Sure,Yes,No,No,Not Sure,No,Yes,No,No,Yes,No,No,No
Not Sure,Yes,Not Sure,Yes,No,No,Yes,Not Sure,No,Indifferent,Not Sure,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Indifferent,Not Sure,No,Yes,No,No,Yes,Not Sure,Indifferent,No,No,Yes,Yes,Yes,Indifferent,Yes,No,Yes,No,Indifferent,Yes,No,Not Sure,Yes
Yes,Not Sure,Not Sure,Yes,No,Yes,Yes,Indifferent,No,No,No,Yes,Yes,No,No,Yes,Not Sure,Yes,Not Sure,No,No,No,Not Sure,Not Sure
Not Sure,No,Yes,Not Sure,No,No,Not Sure,Indifferent,Not Sure,Yes,Not Sure,Yes,No,Yes,Yes,Not Sure,Indifferent,Yes,No,No,Yes,No,No,No
Yes,No,No,Yes,Yes,No,Yes,Indifferent,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Indifferent,No,No,No,Not Sure
Yes,Yes,Yes,Yes,Yes,No,Yes,Not Sure,Yes,Yes,No,Yes,Yes,Not Sure,No,Not Sure,No,Yes,Not Sure,No,Yes,No,No,No
Yes,No,Indifferent,Yes,Yes,No,No,Yes,Not Sure,Yes,No,Not Sure,Yes,No,Yes,Yes,No,Yes,Not Sure,No,No,No,Yes,No
Yes,Yes,Yes,Yes,Not Sure,No,No,Not Sure,No,Indifferent,Not Sure,No,Yes,No,Yes,Yes,Not Sure,No,Not Sure,No,Yes,No,No,No
Yes,No,No,Yes,No,No,Yes,Not Sure,Yes,Yes,Not Sure,No,Yes,Yes,No,Yes,Yes,Yes,Not Sure,No,Yes,Indifferent,Yes,No
Yes,No,Yes,Indifferent,Indifferent,Yes,No,No,Yes,No,Indifferent,Yes,Yes,Not Sure,Not Sure,Yes,No,Yes,Yes,No,Yes,No,Not Sure,No
Yes,Indifferent,Not Sure,Yes,Indifferent,Indifferent,Yes,Indifferent,Not Sure,Yes,No,Yes,Not Sure,Yes,No,Yes,Not Sure,Indifferent,Yes,No,Not Sure,No,No,No
Yes,Not Sure,Indifferent,Yes,Yes,No,Yes,No,Not Sure,No,No,No,Yes,No,No,Yes,No,Yes,Not Sure,No,No,No,No,No
Not Sure,Yes,Not Sure,Yes,Yes,No,Not Sure,No,No,No,No,Not Sure,Not Sure,Not Sure,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
Not Sure,Indifferent,No,Indifferent,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Sure,Indifferent,Yes,No,Yes,Yes,No,No,No,No,No
Yes,No,No,Yes,No,No,Yes,Indifferent,No,No,No,No,Yes,No,Yes,Yes,Not Sure,Yes,Yes,No,Yes,Yes,Not Sure,No
Yes,Yes,No,Yes,No,No,Yes,Indifferent,Not Sure,Yes,Indifferent,Yes,Yes,Indifferent,No,Not Sure,No,Indifferent,Indifferent,No,No,No,No,No
Yes,No,No,Yes,No,Yes,Yes,Not Sure,Yes,Indifferent,Yes,Not Sure,No,No,Not Sure,Yes,No,Yes,Indifferent,Not Sure,Yes,No,No,No
Yes,Yes,No,Yes,No,Not Sure,No,No,Indifferent,No,Yes,Not Sure,Yes,No,Not Sure,Yes,Not Sure,Yes,Yes,No,No,No,No,No
Yes,No,Yes,Yes,No,No,Not Sure,Indifferent,Not Sure,Indifferent,Not Sure,No,Yes,Yes,Not Sure,Yes,No,Yes,Yes,Not Sure,Yes,No,No,No
Yes,Yes,No,Yes,Indifferent,No,Yes,Indifferent,Yes,Yes,Yes,Not Sure,Yes,No,No,No,No,Yes,No,Not Sure,Yes,No,No,No
Not Sure,Not Sure,Yes,Yes,Indifferent,No,Yes,Not Sure,Not Sure,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Not Sure,No,No,No,Not Sure
Yes,No,Yes,Yes,Yes,No,No,Not Sure,Yes,Yes,No,No,Yes,Yes,Indifferent,Yes,Yes,Yes,No,Indifferent,Yes,No,No,No
Not Sure,Indifferent,Yes,Yes,Indifferent,No,Not Sure,No,Not Sure,Yes,No,Yes,Yes,No,Indifferent,Yes,Not Sure,Yes,No,No,No,No,No,Not Sure
Yes,No,Indifferent,Yes,Indifferent,No,Yes,Not Sure,Yes,No,No,Yes,Yes,Indifferent,No,Yes,Yes,Yes,Yes,No,No,No,Not Sure,No
Yes,Yes,No,Indifferent,No,No,Yes,Indifferent,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Sure,No,No,No,No,Not Sure
Yes,Yes,Yes,Yes,Indifferent,No,Yes,Indifferent,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Sure,No,No,No,Not Sure
Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Indifferent,Yes,No,Yes,Yes,No,Yes,No,No,No
Yes,Not Sure,Yes,Yes,No,Indifferent,No,No,Yes,Not Sure,No,Yes,Not Sure,No,Yes,Yes,Indifferent,Yes,No,No,Yes,No,No,No
No,No,No,Yes,No,No,Yes,No,No,Indifferent,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Not Sure,Yes
Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
Not Sure,Yes,No,Yes,No,No,No,No,Indifferent,Yes,No,Not Sure,Not Sure,Not Sure,Indifferent,Yes,Yes,Yes,Yes,No,Yes,No,Not Sure,Not Sure
Yes,Not Sure,Yes,Yes,No,Not Sure,Yes,No,Yes,Yes,No,Yes,Yes,No,Not Sure,No,No,Yes,No,No,No,No,No,No
Yes,Yes,Not Sure,Yes,No,Indifferent,Yes,No,Not Sure,Yes,No,Yes,Yes,Yes,Not Sure,Yes,No,Yes,Yes,No,Yes,No,No,No
Not Sure,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Indifferent,Yes,No,Yes,No,Yes,Not Sure
Yes,Not Sure,Indifferent,Yes,Yes,No,Yes,No,No,Not Sure,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Not Sure,No,No,Yes,Not Sure,No,No,No,No,No
Yes,No,Yes,Yes,No,No,No,No,Indifferent,Yes,No,Yes,Not Sure,Yes,No,Yes,No,Yes,Not Sure,No,No,No,Not Sure,Indifferent
Yes,No,No,Yes,No,No,Not Sure,No,No,Not Sure,Yes,Yes,Yes,Yes,Indifferent,Yes,No,Yes,Yes,No,No,No,Yes,No
Indifferent,No,No,Not Sure,Yes,No,Yes,No,Yes,Yes,Not Sure,Yes,Yes,No,Yes,Yes,No,Yes,Not Sure,No,Yes,No,No,Not Sure
Yes,No,No,Yes,Yes,Not Sure,Yes,No,Yes,Not Sure,Indifferent,Yes,Yes,No,Yes,Yes,No,Indifferent,Not Sure,No,Yes,No,Yes,No
Indifferent,No,No,Yes,No,No,Yes,No,Not Sure,Yes,Yes,Yes,Yes,Not Sure,No,Yes,No,Yes,Yes,No,No,Indifferent,No,No
Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Not Sure,Not Sure,Yes,No,Yes,Yes,No,Yes,Indifferent,No,No
Yes,Yes,No,Yes,No,No,Yes,Indifferent,Yes,Yes,No,Yes,Yes,Indifferent,No,Yes,No,Yes,Indifferent,No,No,No,No,No
Not Sure,Yes,Yes,Yes,No,Not Sure,Yes,No,Yes,Yes,No,Yes,Yes,No,Not Sure,Yes,No,Yes,Yes,No,No,No,No,Yes
Not Sure,Yes,Not Sure,Yes,Not Sure,No,Yes,Not Sure,Not Sure,Yes,Not Sure,No,Yes,No,Indifferent,Yes,No,Yes,Yes,No,No,No,No,Not Sure
Not Sure,Indifferent,No,Yes,No,No,Yes,No,Indifferent,Indifferent,Not Sure,Yes,Yes,Indifferent,Not Sure,Yes,No,Yes,Yes,No,Yes,No,Yes,No
Not Sure,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not Sure,Yes,Yes,Yes,Indifferent,Yes,Yes,Yes,Yes,No,Yes,No,No,No
No,Not Sure,No,Yes,No,No,Yes,No,Not Sure,Not Sure,Not Sure,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Indifferent,No,Not Sure
Yes,No,No,Yes,No,No,Yes,No,Indifferent,No,No,Yes,Not Sure,Not Sure,No,Yes,No,Yes,No,No,No,No,No,No
Yes,Not Sure,Indifferent,Yes,Indifferent,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Indifferent,Yes,No,No,No,No,No
Not Sure,Yes,Not Sure,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Indifferent,No,No,No,No
Not Sure,Yes,No,Yes,No,Not Sure,Not Sure,Yes,No,No,No,Yes,Yes,Not Sure,Not Sure,Yes,No,Yes,Indifferent,No,No,No,No,No
Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Sure,Yes,Yes,No,Yes,No,No,Yes,Indifferent,No,Yes,Indifferent,No,No
Not Sure,Yes,Yes,Yes,No,Indifferent,Yes,No,Yes,No,No,No,Yes,Not Sure,No,Yes,No,Yes,Yes,No,No,No,No,No
Indifferent,Yes,No,Yes,No,No,Yes,Not Sure,Yes,Yes,Indifferent,No,Yes,Indifferent,Yes,Yes,Yes,Yes,Yes,Not Sure,No,No,No,Not Sure
Yes,No,No,Yes,No,No,Yes,Not Sure,Not Sure,Yes,Not Sure,Yes,Yes,No,No,Yes,Yes,No,No,Not Sure,No,No,No,No
Yes,Yes,Not Sure,Yes,No,No,Yes,No,Indifferent,Indifferent,Not Sure,Yes,Not Sure,No,No,Yes,No,Yes,No,Indifferent,No,No,Yes,No
Yes,No,Yes,Yes,Yes,No,Yes,Yes,Not Sure,Yes,No,Yes,Yes,Indifferent,No,Yes,Indifferent,Yes,Yes,No,Yes,Indifferent,No,Not Sure
Not Sure,No,Not Sure,Yes,No,Yes,Yes,No,Not Sure,No,No,Yes,No,Not Sure,No,Not Sure,No,Yes,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Not Sure,No,Yes,Yes,Indifferent,Yes,No,Yes,No,No,No,No,No,Yes
Yes,No,No,Yes,No,Not Sure,Not Sure,Indifferent,Yes,Not Sure,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Not Sure,No
Not Sure,No,No,Yes,No,No,Yes,No,Yes,Not Sure,No,Yes,Yes,No,Indifferent,Yes,No,Yes,Indifferent,Not Sure,No,Indifferent,No,No
Yes,Not Sure,Indifferent,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
Yes,Yes,No,Yes,No,No,Not Sure,Not Sure,Yes,Yes,No,Yes,Not Sure,Not Sure,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
Yes,Not Sure,No,Yes,Indifferent,No,Not Sure,Not Sure,Indifferent,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Not Sure,No,Yes,No,No,No
Yes,Yes,No,Yes,Yes,No,Yes,No,Not Sure,Yes,Indifferent,Yes,Yes,Indifferent,Not Sure,Yes,Indifferent,Indifferent,Yes,No,No,No,No,No
Yes,Not Sure,No,Yes,No,Not Sure,Yes,No,Not Sure,No,Not Sure,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
No,Yes,Yes,Yes,No,No,No,No,Indifferent,No,No,Yes,Yes,Not Sure,Indifferent,No,No,Yes,No,Not Sure,No,No,Yes,No
Yes,Yes,Not Sure,Yes,No,No,Yes,Indifferent,Indifferent,No,Indifferent,Yes,Yes,Indifferent,Yes,Yes,Yes,Yes,Yes,Not Sure,No,No,No,No
Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Indifferent,Not Sure,Yes,Yes,Yes,No,Not Sure,Not Sure,Yes,Not Sure,No,No,No,No,No
Yes,No,Yes,Yes,Yes,No,Yes,No,Indifferent,Not Sure,Indifferent,Not Sure,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
Not Sure,No,No,Yes,Yes,Yes,No,Indifferent,Indifferent,No,No,Yes,Yes,Not Sure,No,Yes,No,Yes,No,No,No,No,Not Sure,No
Yes,Not Sure,No,Yes,No,No,Yes,Not Sure,Not Sure,Not Sure,No,No,Not Sure,Yes,Not Sure,Yes,No,Yes,Yes,No,No,No,No,No
Indifferent,Yes,No,Yes,No,No,Yes,Not Sure,Indifferent,Yes,No,Not Sure,Yes,Indifferent,Indifferent,Yes,Not Sure,Yes,Yes,Not Sure,No,No,No,Yes
Yes,Not Sure,Yes,Yes,Yes,No,Yes,No,No,Not Sure,Not Sure,Yes,Yes,Yes,Not Sure,Yes,Not Sure,Yes,Not Sure,No,No,No,No,No
Yes,Not Sure,Yes,Yes,Yes,No,Yes,No,Not Sure,Yes,No,Not Sure,Yes,Not Sure,Indifferent,Yes,No,Yes,Yes,No,No,Yes,No,No
Yes,Yes,Yes,Yes,No,Indifferent,Yes,Not Sure,Yes,Not Sure,Yes,Not Sure,Yes,Yes,Yes,Yes,No,Yes,Not Sure,Indifferent,No,No,No,No
Yes,Indifferent,Yes,Yes,No,No,No,Not Sure,Yes,Yes,Not Sure,Yes,Yes,No,Indifferent,Yes,No,Yes,No,No,Yes,No,No,No
Yes,No,Indifferent,Not Sure,No,Not Sure,No,No,Indifferent,Yes,Yes,No,Yes,Yes,No,Yes,No,Indifferent,Yes,No,No,No,Indifferent,No
Yes,Yes,Yes,Yes,No,No,Yes,No,Not Sure,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Sure,Yes,No,No,No
Yes,Not Sure,Not Sure,Yes,No,No,Yes,Indifferent,No,Yes,Yes,Yes,Yes,No,Indifferent,Yes,Indifferent,Yes,Yes,No,No,No,No,Not Sure
Yes,No,No,Yes,Indifferent,No,Yes,Not Sure,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Yes,Not Sure,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Indifferent,Not Sure,Not Sure,No,Yes,No,Yes,No,No,Not Sure
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Not Sure,Yes,Not Sure,No,Not Sure,No,Yes,Yes,No,Yes,No,No,No
Yes,Not Sure,Not Sure,Yes,Yes,No,Yes,No,Yes,No,Not Sure,Yes,Yes,Indifferent,Not Sure,Yes,No,Yes,Not Sure,No,Yes,No,No,No
Not Sure,No,No,Yes,No,No,Yes,Not Sure,No,Not Sure,No,Yes,Yes,Not Sure,No,Not Sure,No,Yes,Yes,No,No,No,Yes,No
Yes,Yes,No,Yes,No,Yes,Yes,No,No,Indifferent,Indifferent,Yes,Yes,Not Sure,No,Yes,No,Yes,Yes,Not Sure,No,No,No,No
Not Sure,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Not Sure,No,Indifferent,Yes,No,Yes,Yes,Not Sure,No,No,Not Sure,No
Yes,Yes,No,Yes,No,No,Yes,No,Not Sure,Yes,No,Yes,Not Sure,Yes,Not Sure,Yes,Indifferent,Yes,Not Sure,No,No,No,No,No
Not Sure,Not Sure,No,Yes,No,No,Yes,Indifferent,Not Sure,Not Sure,No,Yes,Yes,Not Sure,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
Not Sure,Not Sure,Yes,Yes,Yes,Not Sure,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
Not Sure,Not Sure,Indifferent,Yes,No,No,Yes,Indifferent,Yes,Yes,Not Sure,Yes,Yes,Yes,No,Yes,No,Yes,Not Sure,No,No,No,No,Not Sure
Yes,Not Sure,No,Yes,Yes,No,Yes,No,No,No,Not Sure,Yes,Yes,Yes,Not Sure,Yes,Yes,Yes,No,Indifferent,No,No,No,No
Yes,Indifferent,Yes,Yes,No,No,Yes,Indifferent,Not Sure,No,No,Yes,Yes,Not Sure,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Not Sure,Yes,No,Yes,No,No,Yes,Yes,Indifferent,Yes,Yes,Yes,Yes,Yes,Indifferent,No,No,Yes,Not Sure,No,No,No,No,Not Sure
Yes,No,No,Not Sure,Yes,No,Yes,No,Indifferent,No,Not Sure,Yes,Yes,No,Indifferent,Yes,Not Sure,Yes,No,No,Yes,No,No,No
Not Sure,Yes,No,Yes,No,Not Sure,No,Yes,Yes,Yes,No,Yes,Not Sure,No,Not Sure,Not Sure,No,Yes,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,Yes,Not Sure,No,Indifferent,Indifferent,Not Sure,Yes,No,Not Sure,Yes,No,Yes,Yes,No,No,No,No,No
Yes,No,Yes,Yes,No,No,Yes,No,Indifferent,No,No,Yes,Yes,Yes,Indifferent,Yes,No,Yes,Yes,No,No,No,Indifferent,Not Sure
Yes,Indifferent,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Not Sure,Indifferent,Yes,Not Sure,No,Yes,Indifferent,No,No,No,No,No
Yes,Yes,Not Sure,Yes,No,No,Yes,Indifferent,Yes,No,Yes,Not Sure,Yes,Not Sure,No,Yes,Not Sure,Yes,Not Sure,No,Yes,No,No,No
Yes,No,No,Yes,Yes,Yes,Yes,No,Indifferent,Yes,No,Not Sure,Yes,Not Sure,Indifferent,Yes,Yes,Yes,Yes,Not Sure,No,No,No,No
Not Sure,Yes,Not Sure,Yes,Not Sure,No,Yes,No,Yes,No,No,Not Sure,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No
No,Not Sure,Not Sure,Yes,No,No,No,Yes,No,No,No,Not Sure,Yes,No,Yes,Yes,No,Yes,Not Sure,No,Yes,No,No,No
No,No,Yes,Yes,No,Yes,Yes,Indifferent,Yes,Yes,Not Sure,Yes,Yes,Not Sure,No,No,Indifferent,Yes,Yes,Not Sure,Not Sure,No,Yes,No
Not Sure,Yes,No,Yes,No,No,Yes,No,Indifferent,Yes,Indifferent,Not Sure,Not Sure,Yes,Not Sure,Yes,No,Yes,Not Sure,Indifferent,Yes,Indifferent,No,No
Yes,Not Sure,No,Yes,No,Not Sure,Yes,No,No,Not Sure,No,No,Yes,Indifferent,Indifferent,Yes,Not Sure,Yes,Not Sure,No,Yes,No,No,No
Yes,Yes,Not Sure,Yes,No,No,Yes,No,No,Yes,Not Sure,Yes,Yes,No,Not Sure,Yes,No,Yes,Yes,No,No,No,No,Not Sure
Not Sure,Yes,No,Yes,Not Sure,No,Yes,No,Indifferent,No,No,Yes,Yes,Not Sure,Yes,Not Sure,No,Yes,Yes,Not Sure,No,No,No,No
Yes,No,No,Yes,Yes,No,No,No,Indifferent,Yes,Indifferent,No,Yes,No,Not Sure,Yes,No,Yes,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Not Sure,No,Yes,No,Yes,Yes,No,No,No,No,Yes
Not Sure,No,No,Yes,Indifferent,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Not Sure,No,No,Yes,No,No,Yes,No,No,No
Yes,No,Not Sure,Yes,No,No,Not Sure,No,Not Sure,Indifferent,Not Sure,Yes,Not Sure,Yes,Yes,Not Sure,No,Yes,Yes,Not Sure,No,No,No,No
Not Sure,No,Not Sure,Yes,No,No,Yes,No,Yes,No,Indifferent,Yes,Yes,Indifferent,No,Yes,No,Yes,Yes,Indifferent,No,No,No,No
Yes,Yes,No,Indifferent,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Not Sure,No,No,No,Not Sure
Yes,Yes,No,Indifferent,Indifferent,No,Yes,Yes,No,Yes,Not Sure,Yes,Not Sure,Yes,Not Sure,Yes,No,Yes,Not Sure,Not Sure,No,No,No,No
Not Sure,No,Yes,Yes,Not Sure,No,No,Yes,Yes,Yes,Yes,Not Sure,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Indifferent,No
Yes,Yes,Yes,Yes,No,Indifferent,Yes,Not Sure,Not Sure,Indifferent,No,Yes,Yes,Not Sure,No,Not Sure,No,Yes,No,No,Yes,No,No,No
No,Not Sure,No,Yes,No,Not Sure,Yes,Yes,Indifferent,Yes,Not Sure,Yes,Yes,Yes,Not Sure,Not Sure,No,Yes,Not Sure,No,No,No,No,No
Yes,Indifferent,No,Yes,No,No,Yes,No,No,No,Not Sure,Yes,Yes,No,No,Yes,No,Yes,Not Sure,No,No,No,No,Not Sure
Yes,Yes,No,Yes,No,No,Yes,Indifferent,Not Sure,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Indifferent,No,No,No,Not Sure
Yes,No,Yes,Yes,Indifferent,Yes,Yes,No,No,No,Yes,Yes,Yes,Indifferent,No,Yes,No,Yes,No,Not Sure,No,No,No,No
Yes,No,Not Sure,Yes,No,No,No,Indifferent,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Not Sure,No,No,No,No
Yes,Not Sure,Yes,Yes,Indifferent,Not Sure,Yes,No,Not Sure,Yes,Yes,Yes,Yes,No,Indifferent,Yes,Yes,Yes,Yes,No,Not Sure,Indifferent,No,Indifferent
Indifferent,Yes,Yes,Yes,No,No,Yes,No,Not Sure,Not Sure,Indifferent,Not Sure,Yes,Not Sure,Indifferent,Yes,No,Yes,Yes,No,No,No,No,No
Not Sure,Not Sure,Yes,Yes,Yes,Yes,Not Sure,No,Indifferent,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Indifferent,No,No,No,Yes,No
Not Sure,No,Not Sure,Yes,Yes,Yes,Yes,No,Not Sure,Indifferent,Indifferent,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
Yes,Not Sure,No,Yes,No,Indifferent,Yes,No,Not Sure,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Indifferent,Not Sure,No
Yes,No,Not Sure,Yes,No,No,Yes,No,Yes,No,Indifferent,Yes,Yes,Not Sure,No,No,Not Sure,Yes,Yes,No,Yes,No,No,No
No,No,No,Yes,No,No,Yes,Not Sure,No,Not Sure,Yes,Yes,Not Sure,No,Not Sure,Not Sure,No,Yes,Yes,Not Sure,No,No,No,No
Yes,No,No,Yes,No,No,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
Yes,No,Yes,Yes,No,No,Yes,No,Not Sure,Indifferent,Not Sure,Yes,Yes,No,Indifferent,Yes,No,Yes,Yes,Not Sure,No,No,No,No
Not Sure,No,No,Yes,Yes,Yes,Yes,Not Sure,Yes,No,Yes,Yes,Yes,No,No,Yes,Not Sure,Yes,Yes,Indifferent,Yes,No,No,No
Yes,Not Sure,Yes,Yes,No,Not Sure,No,No,No,No,Not Sure,Yes,Yes,Indifferent,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
Not Sure,No,Yes,Indifferent,No,No,Yes,No,No,Yes,Not Sure,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No
No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Indifferent,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Indifferent,No,Not Sure,No,Yes,Yes,No,Not Sure,Not Sure,No,Not Sure,Yes,No,Yes,Not Sure,No,Not Sure,No,No,No
Not Sure,Yes,Not Sure,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Sure,No,No,Not Sure,No,Yes,Yes,No,No,No,No,Indifferent
Yes,Yes,No,Yes,No,No,Yes,Not Sure,No,No,Yes,Not Sure,Yes,No,No,Yes,No,Indifferent,No,No,Yes,No,Indifferent,Not Sure
Yes,No,Not Sure,Yes,Yes,No,Not Sure,Yes,No,Indifferent,Not Sure,Yes,Yes,Indifferent,No,Yes,No,Yes,Not Sure,Not Sure,No,No,No,No
Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Not Sure,Yes,Yes,No,No,No,Not Sure,No
Yes,Yes,Yes,Yes,Not Sure,No,Yes,No,Not Sure,Yes,Not Sure,No,Yes,No,Yes,Yes,No,Indifferent,Not Sure,No,No,No,No,No
Yes,Not Sure,Not Sure,Yes,Indifferent,No,Yes,No,Yes,Not Sure,Yes,No,Yes,Yes,No,Yes,No,Indifferent,Not Sure,Not Sure,No,No,Indifferent,No
Yes,Indifferent,Not Sure,Yes,No,No,Yes,Yes,Yes,No,Indifferent,Yes,Yes,Not Sure,Not Sure,Yes,No,Yes,Yes,No,Yes,No,No,No
Yes,Yes,Not Sure,Yes,Yes,Indifferent,Yes,No,Not Sure,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Indifferent,No,No,No,No,No
Indifferent,No,No,Yes,No,Indifferent,Yes,No,No,Not Sure,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Sure,No,No,No,No,No
No,No,Not Sure,Yes,No,No,No,Indifferent,Not Sure,Not Sure,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
Yes,Yes,Yes,Yes,No,No,No,Not Sure,Not Sure,No,Yes,Not Sure,Yes,Yes,Yes,Yes,No,Yes,No,Not Sure,No,No,No,Yes
Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not Sure,Yes,Yes,No,Yes,Yes,Indifferent,No,No,Not Sure,No
Not Sure,No,No,Indifferent,No,No,Yes,No,Yes,Indifferent,No,Not Sure,Yes,No,Yes,Yes,Not Sure,Yes,Not Sure,Not Sure,Yes,No,No,No
Not Sure,No,Yes,Yes,No,No,Yes,Indifferent,Not Sure,No,Not Sure,Yes,Yes,Not Sure,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
Not Sure,No,Yes,Yes,Indifferent,No,Yes,Indifferent,Yes,Yes,Not Sure,Yes,Yes,Yes,Indifferent,Yes,Yes,Indifferent,Yes,No,No,No,No,Not Sure
Yes,Not Sure,No,Yes,Indifferent,No,Yes,Indifferent,Yes,Yes,No,Not Sure,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Indifferent,No
